% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 89.97    0.039280       13093         3           wait4
  2.04    0.000891          18        47        30 access
  1.80    0.000785         261         3           vfork
  1.54    0.000672          28        24           lstat
  1.47    0.000640           8        73        40 stat
  1.34    0.000587          16        35        28 openat
  0.43    0.000186          14        13           close
  0.39    0.000171          57         3           pipe2
  0.34    0.000147          49         3           unlink
  0.18    0.000077          12         6           read
  0.14    0.000063           7         8           readlink
  0.10    0.000043           4         9           rt_sigaction
  0.07    0.000032          10         3           getpid
  0.07    0.000029           9         3           clock_gettime
  0.05    0.000020          10         2           getcwd
  0.04    0.000016           3         5           ioctl
  0.03    0.000012           6         2           prlimit64
  0.01    0.000006           1         4           fstat
  0.00    0.000000           0         9           mmap
  0.00    0.000000           0         3           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         6           pread64
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2         1 arch_prctl
------ ----------- ----------- --------- --------- ----------------
100.00    0.043657                   272        99 total
